Broadcast_Year,Broadcast_Quarter,Market,Service_Type,Broadcast_Language,Total_Quarterly_Hours
2020,1,Ontario,Conventional ,French,32299492
2020,1,Ontario,Discretionary & On-Demand,French,36435741
2020,1,Ontario,Discretionary & On-Demand,English,2404876167
2020,1,Ontario,Non-Canadian & Other,English,590179473
2020,1,Quebec,Conventional ,French,1284825562
2020,1,Quebec,Conventional ,English,132418275
2020,1,Quebec,Discretionary & On-Demand,French,1248275305
2020,1,Quebec,Discretionary & On-Demand,English,250852242
2020,1,Quebec,Non-Canadian & Other,English,95900231
2020,1,West,Conventional ,English,716633311
2020,1,West,Conventional ,French,1226161
2020,1,West,Discretionary & On-Demand,French,1157179
2020,1,West,Discretionary & On-Demand,English,1198188752
2020,1,West,Non-Canadian & Other,English,314168330
2020,2,Atlantic,Conventional ,English,252819422
2020,2,Atlantic,Conventional ,French,7628826
2020,2,Atlantic,Discretionary & On-Demand,French,4897481
2020,2,Atlantic,Discretionary & On-Demand,English,525449526
2020,2,Atlantic,Non-Canadian & Other,English,117411633
2020,2,Central,Conventional ,English,248512225
2020,2,Central,Conventional ,French,118242
2020,2,Central,Discretionary & On-Demand,French,14434
2020,2,Central,Discretionary & On-Demand,English,582260590
2020,2,Central,Non-Canadian & Other,English,111438536
2020,2,Ontario,Conventional ,English,1235632819
2020,2,Ontario,Conventional ,French,24151866
2020,2,Ontario,Discretionary & On-Demand,English,2407615240
2020,2,Ontario,Discretionary & On-Demand,French,26207506
2020,2,Ontario,Non-Canadian & Other,English,569307841
2020,2,Quebec,Conventional ,English,146207071
2020,2,Quebec,Conventional ,French,1332654482
2020,2,Quebec,Discretionary & On-Demand,French,1265338456
2020,2,Quebec,Discretionary & On-Demand,English,247269755
2020,2,Quebec,Non-Canadian & Other,English,88663770
2020,2,West,Conventional ,English,734943780
2020,2,West,Conventional ,French,1297949
2020,2,West,Discretionary & On-Demand,English,1259343309
2020,2,West,Discretionary & On-Demand,French,1659807
2020,2,West,Non-Canadian & Other,English,319317111
2020,3,Atlantic,Conventional ,French,10128327
2020,3,Atlantic,Conventional ,English,285145680
2020,3,Atlantic,Discretionary & On-Demand,French,4516705
2020,3,Atlantic,Discretionary & On-Demand,English,498630147
2020,3,Atlantic,Non-Canadian & Other,English,136221386
2020,3,Central,Conventional ,French,72332
2020,3,Central,Conventional ,English,273339463
2020,3,Central,Discretionary & On-Demand,English,550901559
2020,3,Central,Discretionary & On-Demand,French,5041
2020,3,Central,Non-Canadian & Other,English,133253039
2020,3,Ontario,Conventional ,French,18498202
2020,3,Ontario,Conventional ,English,1328444026
2020,3,Ontario,Discretionary & On-Demand,French,21315605
2020,3,Ontario,Discretionary & On-Demand,English,2350610184
2020,3,Ontario,Non-Canadian & Other,English,706279231
2020,3,Quebec,Conventional ,French,1482132671
2020,3,Quebec,Conventional ,English,146508331
2020,3,Quebec,Discretionary & On-Demand,French,1485510387
2020,3,Quebec,Discretionary & On-Demand,English,241697618
2020,3,Quebec,Non-Canadian & Other,English,118342298
2020,3,West,Conventional ,English,832528772
