Broadcast_Year,Broadcast_Quarter,Market,Service_Type,Broadcast_Language,Total_Quarterly_Hours
2019,4,Vancouver,Private Commercial,French,4568
2019,4,Vancouver,Private Commercial,English,166725652
2020,1,Calgary,CBC/SRC,French,609057
2020,1,Calgary,CBC/SRC,English,18100383
2020,1,Calgary,Non-Commercial,French,
2020,1,Calgary,Non-Commercial,English,58957
2020,1,Calgary,Private Commercial,French,63
2020,1,Calgary,Private Commercial,English,112033348
2020,1,Edmonton,CBC/SRC,French,581924
2020,1,Edmonton,CBC/SRC,English,13516615
2020,1,Edmonton,Non-Commercial,French,
2020,1,Edmonton,Non-Commercial,English,
2020,1,Edmonton,Private Commercial,French,258
2020,1,Edmonton,Private Commercial,English,120984118
2020,1,Montreal,CBC/SRC,English,12370289
2020,1,Montreal,CBC/SRC,French,55036910
2020,1,Montreal,Non-Commercial,French,
2020,1,Montreal,Non-Commercial,English,9657
2020,1,Montreal,Private Commercial,English,128422372
2020,1,Montreal,Private Commercial,French,234377307
2020,1,Toronto,CBC/SRC,French,4345301
2020,1,Toronto,CBC/SRC,English,118492491
2020,1,Toronto,Non-Commercial,French,
2020,1,Toronto,Non-Commercial,English,11991240
2020,1,Toronto,Private Commercial,French,96321
2020,1,Toronto,Private Commercial,English,471061915
2020,1,Vancouver,CBC/SRC,French,1248771
2020,1,Vancouver,CBC/SRC,English,43530164
2020,1,Vancouver,Non-Commercial,French,
2020,1,Vancouver,Non-Commercial,English,30558
2020,1,Vancouver,Private Commercial,French,2688
2020,1,Vancouver,Private Commercial,English,169322761
2020,2,Calgary,CBC/SRC,French,447254
2020,2,Calgary,CBC/SRC,English,15681014
2020,2,Calgary,Non-Commercial,French,
2020,2,Calgary,Non-Commercial,English,81027
2020,2,Calgary,Private Commercial,French,533
2020,2,Calgary,Private Commercial,English,111964512
2020,2,Edmonton,CBC/SRC,French,1326992
2020,2,Edmonton,CBC/SRC,English,13425715
2020,2,Edmonton,Non-Commercial,French,
2020,2,Edmonton,Non-Commercial,English,30
